id,name,releaseDate
flight_2012,Flight,2012-11-01 17:00:00
the_man_on_the_train,The Man on the Train (L'homme du train),2003-05-08 17:00:00
kurt_cobain_about_a_son,Kurt Cobain: About a Son,2007-10-02 17:00:00
deep_blues,Deep Blues,1992-03-31 16:00:00
eastside,Eastside,1999-12-30 16:00:00
mahanati,Mahanati,
stereo,Stereo,1968-12-31 16:00:00
brothers_mcmullen,The Brothers McMullen,1995-08-08 17:00:00
some_girls,Some Girls,1988-09-08 17:00:00
life_2017,Life,2017-03-23 17:00:00
1118700_adaptation,Adaptation,2002-12-05 16:00:00
invasion_2005,Invasion,
a_snipers_war,A Sniper's War,
mourning,Mourning,
my_girl_2,My Girl 2,1996-05-31 17:00:00
the_reagan_show,The Reagan Show,2017-06-29 17:00:00
plan_9_from_syracuse,Plan 9 from Syracuse,2007-10-26 17:00:00
enlightenment_guaranteed,Erleuchtung garantiert (Enlightenment Guaranteed),1999-05-31 17:00:00
pizza_beer_and_smokes,"Pizza, Beer and Smokes",
giant,Giant,1956-11-23 16:00:00
the_farthest,The Farthest,2017-08-10 17:00:00
cherry_blossoms_hanami,Kirschblüten - Hanami (Cherry Blossoms),2008-02-10 16:00:00
nanny_mcphee_returns,Nanny McPhee Returns,2010-08-19 17:00:00
the_bay_2012,The Bay,2012-11-01 17:00:00
1013139_maltese_falcon,The Maltese Falcon,1941-10-17 16:00:00
the_girl_and_death,The Girl and Death,2014-04-24 17:00:00
vendetta_2013,Vendetta,
the_conquest_2011,The Conquest,2011-11-10 16:00:00
the_lurking_man,The Lurking Man,
hermia_and_helena,Hermia & Helena,2017-05-25 17:00:00
radio_dreams,Radio Dreams,2017-06-08 17:00:00
catch_me_if_you_can,Catch Me If You Can,2002-12-24 16:00:00
resident_evil_extinction,Resident Evil: Extinction,2007-09-20 17:00:00
that_darn_punk,That Darn Punk,
hansel_and_gretel_get_baked,Hansel and Gretel Get Baked,2013-02-21 16:00:00
10002008_charly,Charly (A Heartbeat Away),2002-09-26 17:00:00
six_sex_scenes_and_a_murder,Six Sex Scenes and a Murder,2008-05-29 17:00:00
if_i_had_a_million_1932,If I Had a Million,1931-12-31 16:00:00
sniff,Sniff!!!,
bruces_deadly_fingers,Bruce's Deadly Fingers,
1218219_passchendaele,Passchendaele,
wetlands_2017,Wetlands,2017-09-14 17:00:00
crossing_over,Crossing Over,2009-02-26 16:00:00
1130901_suicide,Suicide,
sam_the_man,Sam the Man,2004-12-31 16:00:00
everywhere_and_nowhere,Everywhere and Nowhere,2011-05-05 17:00:00
people_you_may_know_2017,People You May Know,2017-11-27 16:00:00
the_last_of_robin_hood,The Last Of Robin Hood,2014-08-28 17:00:00
white_noise_2,White Noise 2,2007-01-04 16:00:00
bad_santa_2,Bad Santa 2,2016-11-22 16:00:00
imaginary_witness,Imaginary Witness: Hollywood and the Holocaust,2004-05-05 17:00:00
1002203_betrayal,Betrayal,1983-02-18 16:00:00
about_alex,About Alex,2014-08-07 17:00:00
pitch_perfect_2,Pitch Perfect 2,2015-05-14 17:00:00
mind_the_gap,Mind the Gap,2005-06-30 17:00:00
menschen_am_sonntagpeople_on_sunday,Menschen am Sonntag (People on Sunday),1930-02-03 16:00:00
trog,Trog,1970-10-23 17:00:00
catwoman,Catwoman,2004-07-22 17:00:00
offshore,Offshore,2009-05-28 17:00:00
